source_image,candidate_image,phash_distance,dhash_distance,edge_distance,visual_distance,orb_keypoints_source,orb_keypoints_candidate,orb_good_matches,orb_inlier_matches,orb_score,combined_score,match_band
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.36.png,20,16,23,19.75,1893,2500,20,5,0.00264,80.51413,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.36_1.png,20,16,23,19.75,1893,2500,20,5,0.00264,80.51413,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4.png,22,19,15,19.5,291,2498,3,0,0.0,80.5,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4_1.png,22,19,15,19.5,291,2498,3,0,0.0,80.5,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8.png,20,13,29,20.5,421,2500,4,4,0.0095,80.45012,weak
C:\Users\ron\Documents\project\images\fig_292.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.34.png,18,13,30,19.75,2437,2424,4,4,0.00165,80.41502,weak
C:\Users\ron\Documents\project\images\fig_292.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.34_1.png,18,13,30,19.75,2437,2424,4,4,0.00165,80.41502,weak
C:\Users\ron\Documents\project\images\fig_025.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.124.png,18,19,24,19.75,2474,2500,7,4,0.00162,80.41168,weak
C:\Users\ron\Documents\project\images\fig_025.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.124_1.png,18,19,24,19.75,2474,2500,7,4,0.00162,80.41168,weak
C:\Users\ron\Documents\project\images\fig_025h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.124.png,18,19,24,19.75,2500,2500,6,4,0.0016,80.41,weak
C:\Users\ron\Documents\project\images\fig_025h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.124_1.png,18,19,24,19.75,2500,2500,6,4,0.0016,80.41,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.3.png,18,19,25,20.0,1893,2485,17,7,0.0037,80.36978,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.3_1.png,18,19,25,20.0,1893,2485,17,7,0.0037,80.36978,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png,20,22,18,20.0,1532,2476,10,4,0.00261,80.2611,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2_1.png,20,22,18,20.0,1532,2476,10,4,0.00261,80.2611,weak
C:\Users\ron\Documents\project\images\fig_256.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.1.2.png,16,19,28,19.75,22,2320,0,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_256.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.1.2_1.png,16,19,28,19.75,22,2320,0,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24.png,22,21,14,19.75,291,2500,1,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24_1.png,22,21,14,19.75,291,2500,1,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24_2.png,22,21,14,19.75,291,2500,1,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.36.png,20,16,23,19.75,421,2500,2,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.36_1.png,20,16,23,19.75,421,2500,2,0,0.0,80.25,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.2.png,22,15,22,20.25,1554,2500,7,5,0.00322,80.07175,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.2_1.png,22,15,22,20.25,1554,2500,7,5,0.00322,80.07175,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png,20,22,19,20.25,1431,2500,4,4,0.0028,80.02952,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117_1.png,20,22,19,20.25,1431,2500,4,4,0.0028,80.02952,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.21.png,22,13,24,20.25,1893,2078,18,5,0.00264,80.01413,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.21_1.png,22,13,24,20.25,1893,2078,18,5,0.00264,80.01413,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.21_2.png,22,13,24,20.25,1893,2078,18,5,0.00264,80.01413,weak
C:\Users\ron\Documents\project\images\fig_290.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.7.png,16,22,27,20.25,1962,2500,16,5,0.00255,80.00484,weak
C:\Users\ron\Documents\project\images\fig_290.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.7_1.png,16,22,27,20.25,1962,2500,16,5,0.00255,80.00484,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png,26,15,13,20.0,291,2476,7,0,0.0,80.0,weak
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4.png,20,23,19,20.5,1521,2498,21,7,0.0046,79.96022,weak
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4_1.png,20,23,19,20.5,1521,2498,21,7,0.0046,79.96022,weak
C:\Users\ron\Documents\project\images\fig_296h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.2.png,22,15,22,20.25,2500,2500,11,4,0.0016,79.91,weak
C:\Users\ron\Documents\project\images\fig_296h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.56.2_1.png,22,15,22,20.25,2500,2500,11,4,0.0016,79.91,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.7.png,20,23,19,20.5,1532,2500,9,4,0.00261,79.7611,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.7_1.png,20,23,19,20.5,1532,2500,9,4,0.00261,79.7611,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.21.png,22,13,24,20.25,421,2078,1,0,0.0,79.75,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.21_1.png,22,13,24,20.25,421,2078,1,0,0.0,79.75,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.21_2.png,22,13,24,20.25,421,2078,1,0,0.0,79.75,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png,26,15,17,21.0,1431,2476,18,8,0.00559,79.55905,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2_1.png,26,15,17,21.0,1431,2476,18,8,0.00559,79.55905,weak
C:\Users\ron\Documents\project\images\fig_038.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png,14,21,34,20.75,1347,1985,6,4,0.00297,79.54696,weak
C:\Users\ron\Documents\project\images\fig_038.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16_1.png,14,21,34,20.75,1347,1985,6,4,0.00297,79.54696,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24.png,22,21,18,20.75,1431,2500,4,4,0.0028,79.52952,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24_1.png,22,21,18,20.75,1431,2500,4,4,0.0028,79.52952,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.24_2.png,22,21,18,20.75,1431,2500,4,4,0.0028,79.52952,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1995.1.2.png,22,17,22,20.75,1532,2412,6,4,0.00261,79.5111,weak
C:\Users\ron\Documents\project\images\fig_116.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1995.1.2_1.png,22,17,22,20.75,1532,2412,6,4,0.00261,79.5111,weak
C:\Users\ron\Documents\project\images\fig_104h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20.png,20,31,11,20.5,239,1336,2,0,0.0,79.5,weak
C:\Users\ron\Documents\project\images\fig_104h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20_1.png,20,31,11,20.5,239,1336,2,0,0.0,79.5,weak
C:\Users\ron\Documents\project\images\fig_378h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8.png,20,13,29,20.5,1893,2500,2,0,0.0,79.5,weak
C:\Users\ron\Documents\project\images\fig_323.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png,18,25,22,20.75,2029,2500,4,4,0.00197,79.44714,weak
C:\Users\ron\Documents\project\images\fig_323.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3_1.png,18,25,22,20.75,2029,2500,4,4,0.00197,79.44714,weak
C:\Users\ron\Documents\project\images\fig_339h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4.png,22,19,21,21.0,1431,2498,11,6,0.00419,79.41929,weak
C:\Users\ron\Documents\project\images\fig_286.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8.png,18,12,35,20.75,2436,2500,6,4,0.00164,79.4142,weak
C:\Users\ron\Documents\project\images\fig_286.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8_1.png,18,12,35,20.75,2436,2500,6,4,0.00164,79.4142,weak
C:\Users\ron\Documents\project\images\fig_286.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8_1_1.png,18,12,35,20.75,2436,2500,6,4,0.00164,79.4142,weak
C:\Users\ron\Documents\project\images\fig_166h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png,18,22,26,21.0,2137,2453,10,6,0.00281,79.28077,weak
