accession_number,title,description,provenance,section,image_file,page_number,has_description,has_provenance,has_section,has_image,data_quality
1901.53.3,Bronze arm-ring,Bronze arm-ring,,,page_091.png,91.0,True,False,False,True,2
1899.70.2,Tortoise-shell drum with,Tortoise-shell drum with,George Fabian Lawrence,2.1,page_053.png,53.0,True,True,True,True,4
1983.25.3,Brass hip-ornament,Brass hip-ornament,Harold Mordley Douglas,2.11,page_133.png,133.0,True,True,True,True,4
1900.39.27.2,Iron armlet containing,Iron armlet containing,,,page_086.png,86.0,True,False,False,True,2
1909.67.35,,,,,page_183.png,183.0,False,False,False,True,1
1898.26.1,,,Felix Norman Roth,2.13,page_021.png,21.0,False,True,True,True,3
1900.1.5,Wooden sansa-type,Wooden sansa-type,,,page_058.png,58.0,True,False,False,True,2
1935.25.8,,,,,page_011.png,11.0,False,False,False,True,1
1901.32.4,,,,,page_009.png,9.0,False,False,False,True,1
2012.103.11,,,,,page_192.png,192.0,False,False,False,True,1
1922.67.1,,,,,page_185.png,185.0,False,False,False,True,1
1909.1.1,Ivory mount from a,Ivory mount from a,Henry Nilus Thompson,2.8,page_104.png,104.0,True,True,True,True,4
1899.50.4,,,,,page_010.png,10.0,False,False,False,True,1
1991.13.31,,,,,page_229.png,229.0,False,False,False,True,1
1909.1.2,Bronze staff with double,Bronze staff with double,Henry Nilus Thompson,2.8,page_105.png,105.0,True,True,True,True,4
1899.78.4.2,Wooden weaving sword,Wooden weaving sword,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1900.1.6.7,,,,,page_025.png,25.0,False,False,False,True,1
1900.39.25,Carved coconut vessel,Carved coconut vessel,Mary Henrietta Kingsley,2.3,page_084.png,84.0,True,True,True,True,4
1909.67.36,,,,,page_184.png,184.0,False,False,False,True,1
1991.13.35,Bronze armlet with inset coral,Bronze armlet with inset coral,,,page_166.png,166.0,True,False,False,True,2
1900.39.15,Bronze penannular leg-,Bronze penannular leg-,Mary Henrietta Kingsley,2.3,page_074.png,74.0,True,True,True,True,4
1917.2.13,Bronze hip-ornament,Bronze hip-ornament,Sir George Chardin Denton,2.17,page_114.png,114.0,True,True,True,True,4
1975.5.1,,,,,page_019.png,19.0,False,False,False,True,1
1901.53.7,Bronze pellet bell,Bronze pellet bell,,,page_094.png,94.0,True,False,False,True,2
1901.32.3,,,,,page_010.png,10.0,False,False,False,True,1
1909.61.7,Bronze imitation of a,Bronze imitation of a,William John Ansorge,2.6,page_113.png,113.0,True,True,True,True,4
1934.46.3,,,,,page_186.png,186.0,False,False,False,True,1
1899.86.13,Bronze foot broken,Bronze foot broken,,,page_056.png,56.0,True,False,False,True,2
1908.18.13,,,,,page_179.png,179.0,False,False,False,True,1
1909.67.22,,,,,page_180.png,180.0,False,False,False,True,1
1901.53.10,Bronze pellet bell,Bronze pellet bell,,,page_038.png,38.0,True,False,False,True,2
1991.13.40,Perforated agate bead,Perforated agate bead,,,page_171.png,171.0,True,False,False,True,2
